"","CL_prox_m","DATE","Month","Day","Year","TagSite","Species","TL","RewardTag1","RewardTag2","Radio_Tag_","Code","Combined","Group_","Notes","Lat","Long","A_D","Ramp","Notes1","DaysPostRe","DistFromRa","geometry"
"27",6133.01218149262,2023-10-09,10,9,2023,189,"LMB",452,68,"NA",150.132,"I-17","150.132I-17","U",NA,33.98096,-86.02992,"A","CL",NA,NA,0,c(-86.0299199999999, 33.98096)
"28",3930.62951782471,2023-11-16,11,16,2023,189,"LMB",452,68,"NA",150.132,"I-17","150.132I-17","U",NA,33.97631,-85.99759,"A","CL",NA,NA,0,c(-85.9975899999999, 33.9763100000001)
"29",3861.45486537082,2023-12-04,12,4,2023,189,"LMB",452,68,"NA",150.132,"I-17","150.132I-17","U",NA,33.9775,-86.00075,"D","CL",NA,NA,0,c(-86.00075, 33.9775000000001)
"30",3879.93652441305,2023-12-19,12,19,2023,189,"LMB",452,68,"NA",150.132,"I-17","150.132I-17","U",NA,33.97752,-86.00096,"D","CL",NA,NA,0,c(-86.00096, 33.97752)
"31",3868.84752898785,2024-01-04,1,4,2024,189,"LMB",452,68,"NA",150.132,"I-17","150.132I-17","U",NA,33.97752,-86.00082,"D","CL","Removed 1/16/23",NA,0,c(-86.00082, 33.97752)
"32",0,2023-04-01,4,1,2023,88,"ALB",350,2406,"NA",150.132,"I-26","150.132I-26","L","4/1/2023 CL, TJ",34.010097,-85.997069,"A","CL",NA,NA,0,c(-85.997069, 34.010097)
"33",37.743660717337,2023-04-13,4,13,2023,88,"ALB",350,2406,"NA",150.132,"I-26","150.132I-26","L","4/1/2023 CL, TJ",34.01035667,-85.99727167,"A","CL",NA,NA,33.941565,c(-85.99727167, 34.0103566700001)
"34",339.714126699849,2023-04-30,4,30,2023,88,"ALB",350,2406,"NA",150.132,"I-26","150.132I-26","L","4/1/2023 CL, TJ",34.01138,-85.99518,"A","CL",NA,NA,327.222629,c(-85.9951799999999, 34.01138)
"35",1706.24624875433,2023-05-09,5,9,2023,88,"ALB",350,2406,"NA",150.132,"I-26","150.132I-26","L","4/1/2023 CL, TJ, last seen in semi-circle pit across from pump house",34.01914,-85.98518,"A","CL",NA,NA,1691.972975,c(-85.98518, 34.01914)
"36",0,2023-03-26,3,26,2023,168,"ALB",439,142,"141",150.132,"J-33","150.132J-33","U","3/26/2023 CL, TJ",34.010097,-85.997069,"A","CL",NA,NA,0,c(-85.997069, 34.010097)
"37",7144.41332030114,2023-04-13,4,13,2023,168,"ALB",439,142,"141",150.132,"J-33","150.132J-33","U","3/26/2023 CL, TJ",33.962115,-85.96966667,"A","CL",NA,NA,6744.365957,c(-85.96966667, 33.962115)
"38",1099.5889760341,2023-05-01,5,1,2023,168,"ALB",439,142,"141",150.132,"J-33","150.132J-33","U","3/26/2023 CL, TJ, CAUGHT TWICE?",34.01793,-85.99018,"A","CL",NA,NA,1076.402923,c(-85.99018, 34.01793)
"39",1096.91521334224,2023-05-09,5,9,2023,168,"ALB",439,142,"141",150.132,"J-33","150.132J-33","U","3/26/2023 CL, TJ, CAUGHT TWICE?",34.01791,-85.99026,"A","CL",NA,NA,1070.730709,c(-85.99026, 34.01791)
"40",14442.322783726,2023-05-24,5,24,2023,168,"ALB",439,142,"141",150.132,"J-33","150.132J-33","U","3/26/2023 CL, TJ, weird movement",33.94405,-86.00182,"A","CL",NA,NA,13649.135429,c(-86.00182, 33.9440500000001)
